2213,376,2871,167,2962,465,2304,674
1892,609,2245,514,2296,714,1943,810
1046,1651,1269,1654,1268,1716,1046,1713
1776,654,1882,649,1892,843,1786,849
1208,1084,1321,1053,1342,1133,1228,1164
774,1375,858,1370,865,1487,781,1492
3831,1872,3943,1873,3942,1947,3830,1946
1126,1113,1218,1096,1231,1170,1139,1187
1104,1213,1172,1196,1181,1233,1113,1250
1771,1483,1954,1482,1955,1526,1772,1528
1983,1488,2241,1490,2241,1536,1982,1535
4507,1686,4609,1685,4610,1725,4507,1725
4506,1734,4574,1735,4574,1766,4506,1765
1645,1480,1745,1479,1745,1522,1645,1523
3320,1903,3389,1911,3383,1966,3314,1959
1515,1477,1621,1477,1621,1520,1515,1520
1174,1188,1232,1175,1241,1215,1182,1228
3860,1840,3912,1839,3912,1864,3860,1865
3260,1898,3317,1905,3311,1954,3254,1947
1230,1171,1270,1161,1279,1201,1239,1210
