1880,1031,2653,1023,2655,1188,1881,1196
1479,1232,2326,1229,2327,1421,1480,1424
1309,801,1993,807,1992,934,1307,927
1389,2623,1882,2748,1859,2823,1366,2697
1490,2766,2035,2623,2058,2699,1513,2843
1744,1703,2088,1817,2060,1897,1716,1783
764,3047,1665,3036,1671,3438,770,3449
877,3596,1661,3601,1660,3710,876,3705
2118,834,2607,837,2606,962,2117,959
785,1420,1229,1424,1228,1534,784,1530
1990,3646,2580,3641,2581,3707,1990,3712
1464,3617,2265,3622,2265,3705,1464,3701
1652,1453,2073,1456,2072,1568,1651,1564
954,754,1193,648,1228,722,988,828
2529,1506,2725,1504,2726,1608,2530,1610
1825,2995,2774,2981,2781,3416,1832,3431
1287,1439,1595,1442,1594,1551,1286,1548
2125,1472,2306,1473,2305,1577,2124,1576
2317,1484,2520,1483,2521,1592,2318,1594
