1729,2248,2429,2238,2431,2380,1731,2390
1031,1191,1954,1196,1952,1511,1029,1506
1049,2318,1653,2310,1655,2449,1051,2457
567,2822,1203,2814,1207,3112,571,3120
1852,2590,2442,2570,2444,2647,1855,2666
2171,2657,2728,2649,2732,2908,2175,2916
1140,1567,1815,1563,1816,1683,1141,1688
1897,1539,2507,1535,2508,1652,1898,1655
1252,1792,1592,1786,1596,2009,1256,2015
2468,2532,2770,2524,2772,2592,2470,2600
2464,3094,2803,3045,2810,3090,2471,3140
1088,2686,1391,2679,1392,2745,1090,2752
2332,1158,2894,1146,2901,1453,2339,1466
1621,2634,1826,2626,1828,2689,1623,2698
2054,3159,2300,3118,2308,3161,2061,3201
571,2727,1085,2714,1087,2789,573,2802
1423,2659,1596,2655,1598,2715,1424,2719
2317,3123,2467,3102,2472,3136,2322,3157
2801,3053,2937,3030,2942,3062,2807,3084
2900,3038,3001,3022,3006,3053,2905,3068
