1637,1857,1950,1890,1944,1946,1631,1914
1669,2021,1930,2048,1923,2107,1662,2081
1923,1961,2123,1987,2116,2044,1915,2019
1467,1902,1621,1907,1618,1978,1465,1973
2958,3193,3089,3195,3088,3220,2957,3218
3374,3695,3454,3691,3455,3716,3375,3719
1768,1950,1917,1965,1911,2017,1763,2002
2516,2815,2613,2839,2604,2872,2507,2848
3369,3658,3451,3654,3452,3680,3370,3684
1638,1928,1766,1946,1758,2003,1630,1985
580,3237,630,3235,631,3255,581,3257
3381,3624,3458,3621,3459,3646,3382,3649
2604,2801,2665,2814,2659,2844,2598,2832
