1283,1252,1735,1454,1668,1597,1216,1395
42,1417,511,1231,574,1381,104,1567
595,1224,1174,1238,1171,1372,591,1358
2308,3021,2496,3025,2495,3080,2307,3076
2501,2057,2797,2052,2798,2127,2502,2131
2605,1895,2832,1891,2833,1963,2606,1966
2179,1526,2426,1523,2427,1585,2180,1588
750,2839,904,2828,910,2912,757,2923
2602,1739,2783,1728,2788,1802,2606,1813
2185,2077,2303,2074,2305,2145,2187,2148
2296,1823,2495,1820,2496,1888,2297,1890
2391,1907,2524,1903,2526,1971,2393,1975
2659,1517,2879,1514,2879,1578,2659,1581
2278,3277,2409,3281,2408,3311,2277,3307
2421,1740,2577,1739,2578,1810,2422,1812
2304,2071,2424,2067,2427,2138,2307,2142
2265,1743,2404,1743,2404,1813,2264,1812
2230,3400,2321,3401,2320,3429,2230,3427
2340,3313,2476,3312,2476,3344,2340,3345
2371,3174,2484,3176,2483,3209,2370,3207
669,2846,778,2834,789,2927,679,2939
2435,1523,2646,1521,2647,1580,2436,1583
2282,3208,2382,3211,2381,3239,2281,3237
2230,3361,2331,3360,2331,3387,2230,3388
2359,3122,2453,3124,2453,3157,2358,3156
2287,3175,2353,3177,2352,3209,2286,3207
2213,1908,2323,1905,2325,1975,2215,1979
2219,3121,2316,3121,2317,3153,2219,3154
2455,3124,2533,3129,2531,3160,2454,3156
2400,3279,2482,3283,2480,3312,2399,3308
2470,1820,2617,1821,2616,1887,2469,1886
2266,3312,2344,3314,2343,3341,2265,3340
2390,3210,2467,3209,2467,3241,2390,3241
2509,1898,2590,1896,2592,1968,2510,1970
