2469,1001,3193,877,3254,1221,2530,1345
1981,1261,2381,1199,2419,1437,2019,1498
965,2338,1224,2346,1221,2423,962,2415
2080,2193,2373,2195,2372,2251,2080,2248
1200,1715,1360,1682,1380,1772,1219,1805
648,2012,771,2007,776,2139,653,2144
1108,1738,1220,1724,1232,1814,1120,1828
1832,2177,2056,2181,2055,2239,1831,2235
1979,2254,2116,2259,2115,2287,1977,2282
1077,1852,1165,1837,1173,1879,1084,1894
1172,1832,1252,1818,1259,1860,1179,1873
1683,2170,1804,2171,1803,2224,1682,2224
1540,2164,1659,2165,1658,2219,1540,2218
1871,1307,1981,1302,1990,1510,1880,1514
